시도,시군구,읍면동,리,지번,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),소유별,취약지역지정사유,데이터기준일
경상북도,문경시,농암면,종곡리,산66구,36,36,8,127,59,27.999,사유림,조사시작점 인근 인가에서 월류로 인한 피해가능성과 농지 유실이 소규모 관찰되어 피해를 예방하기 위한 취약지역지정을 제안함.,2025-12-29
경상북도,문경시,마성면,상내리,산96임,36,41,39,128,3,28,사유림,계류의 경사가 급하고 단차가 낮아 잦은 월류가 발생하는 지역으로 주민이 불안함을 호소하고 있음. 따라서 인명피해 예방을 위한 취약지역지정을 제안함.,2025-12-29
경상북도,문경시,마성면,상내리,1121구,36,41,53,128,4,17,사유림,"계류의 하부는 암반으로 이루어진 지역으로, 계류 폭이 좁아 집중호우시 월류가 발생한다는 주민의견이 존재함. 추가적인 피해를 예방하기 위하여 취약지역으로 지정하고자 함.",2025-12-29
경상북도,문경시,문경읍,당포리,산138임,36,45,45,128,9,21.999,사유림,조사시작점에 퇴적지가 형성되어 있어 기존 배수관을 막고 있음. 따라서 월류로 인한 피해가 우려되어 취약지역으로 제안함.,2025-12-29
경상북도,문경시,문경읍,팔영리,산58-1임,36,45,57.486,128,8,4.828,사유림,계류 내 퇴적물이 다량 퇴적되어 있으며 유동흔적이 관찰됨. 하부 인가에서 월류로 인한 피해가 우려되어 취약지역으로 제안함.,2025-12-29
경상북도,문경시,문경읍,관음리,산115-1임,36,48,32,128,8,20,사유림,유역 내 간벌을 실시한 지역으로 상부에서 발생된 퇴적물의 하부 유동 시 도로와 인가에 피해가 우려되므로 취약지역으로 지정하고자 함.,2025-12-29
경상북도,문경시,문경읍,갈평리,산66-1임,36,47,38.376,128,9,52.13,사유림,유역 내 다수의 전석과 퇴적물이 관찰되는 지역으로 하부로 유동 시 저수시설 및 인가밀집지에 피해가 우려되므로 취약지역으로 지정하고자 함.,2025-12-29
경상북도,문경시,산북면,창구리,산35-1임,36,45,35,128,14,57.999,사유림,"계류 내 퇴적물 유동흔적 및 사면의 균열, 뜬돌, 낙석 가능성 등이 관찰되어 하부로 유동 시 과수원과 인가에 피해가 우려되어 취약지역으로 선정함.",2025-12-29
경상북도,문경시,산북면,전두리,산16임,36,44,54,128,14,28.999,사유림,계류 내부로 퇴적물 분포비율이 높고 기반암인 화강암의 풍화도가 높음. 침식 및 표층유실이 발생하였고 토사가 유출되어 계류 내부로 유입됨.,2025-12-29
경상북도,문경시,산북면,대상리,산16임,36,39,34,128,15,20,사유림,유수에 의한 농지 유실 억제와 배수기능 저하로 인한 월류피해 이력이 존재하여 인명과 재산의 보호를 위해 취약지역 지정을 제안함.,2025-12-29
경상북도,문경시,문경읍,평천리,산68-1임,36,47,57,128,7,8.999,사유림,퇴적물 유동으로 인해 인가 부근의 기슭이 파손되어 주민이 개인적인 소규모 기슭막이를 설비해놓음. 잦은 월류가 발생하여 지역 주민들이 불안감을 호소하고 있어 취약지역으로 지정하여 관리가 필요할 것으로 사료됨.,2025-12-29
경상북도,문경시,가은읍,하괴리,산176구,36,40,54,128,3,3.999,사유림,강우 시 월류가 우려되는 구간이 관찰됨. 풍화도가 높아 암 탈락 및 표층유실에 따른 토사유실구간이 관찰됨. 진입로 하부로 침식이 발생하여 훼손될 가능성이 매우 높음.,2025-12-29
경상북도,문경시,문경읍,진안리,산13-2임,36,44,20,128,5,30.999,사유림,"암반 풍화도가 높아 마사토(화강풍화토)화 된 구간이 다수 존재함. 표층유실, 세굴 등으로 인해 강우 시 토사유출가능성이 높음.",2025-12-29
경상북도,문경시,문경읍,당포리,856,36,44,47,128,10,33,사유림,기존 사방시설이 파손된 흔적이 관찰됨. 계류 내 퇴적물 비율이 높고 유동된 흔적이 관찰됨.,2025-12-29
경상북도,문경시,농암면,종곡리,산24임,36,36,3.862,127,59,28.239,사유림,하부 인가주변의 계류폭이 좁아 월류로 인한 인가와 경작지의 재산피해 이력이 존재함. 또한 220m 지점 부터 다수의 위험요소가 관찰되어 관리가 필요할 것으로 판단됨.,2025-12-29
경상북도,문경시,가은읍,완장리,산29-1임,36,40,17.3,127,59,55.599,사유림,계류 내부로 퇴적지가 다량 적치되어 있으며 사면부에서 유실된 토사가 계류 바닥으로 유입되고 있음. 또한 하부에 인가가 위치하고 있어 피해가 예상되므로 취약지역으로의 선정을 제안함.,2025-12-29
경상북도,문경시,가은읍,상괴리,711구,36,40,48.3,128,0,59.9,사유림,계상퇴적지가 발달하였으며 일부 구간에서 퇴적물의 유동흔적이 관찰됨. 또한 하부에 인가와 농경지가 인접하여 있어서 피해가 예상되므로 취약지역으로의 선정을 제안함.,2025-12-29
경상북도,문경시,가은읍,상괴리,산29-1임,36,40,49.3,128,0,48.2,사유림,침식에 의한 토사유출과 계상퇴적지가 발달하였음. 하부에 농막 및 경작지가 위치하고 있어 시설물 보호를 위해 취약지역으로의 지정을 제안함.,2025-12-29
경상북도,문경시,가은읍,죽문리,616임,36,38,59.9,127,59,8.8,사유림,"계류 전 구간에 전석과 뜬돌이 다수 관찰되고, 일부 구간에 계상퇴적지가 적치되어 있으므로 취약지역으로의 선정을 제안함",2025-12-29
경상북도,문경시,가은읍,죽문리,산44임,36,39,10.6,127,59,23.499,사유림,토석류 흔적 및 계상퇴적지가 관찰되므로 취약지역으로의 선정을 제안함,2025-12-29
경상북도,문경시,가은읍,원북리,산37임,36,41,13.082,128,0,54.006,사유림,"좌, 우측 침식 및 세굴이 관찰됨. 전석이 다수 적치된 상태이므로 취약지역으로의 선정을 제안함",2025-12-29
경상북도,문경시,가은읍,원북리,599구,36,42,3.085,128,1,8.417,사유림,장마 시 유수와 퇴적물의 다량 이동으로 계류 전석 및 유송잡물이 다량 적치된 상태로 확인되어 취약지역으로 선정함,2025-12-29
경상북도,문경시,동로면,석항리,산411-1,36,47,28.997,128,21,22.883,사유림,사면에서 지속적인 토사 유출이 발생함. 하부에 과실수 및 인가에 피해가 우려됨으로 취약지역으로 지정,2025-12-29
경상북도,문경시,마성면,오천리,산39,36,40,37.962,128,8,15.919,사유림,계류내 표층유실이 있으며 강우 시 월류 발생이 우려되므로 하류 생활권 보호를 위해 취약지역으로 선정함,2025-12-29
경상북도,문경시,마성면,오천리,산31-1,36,40,34.719,128,8,33.453,사유림,"상부쪽 경사가 급하고 침식 및 붕괴 등이 위험요소가 관찰됨, 유역폭이 급격하게 넓어짐으로 위험요소의 확대 시 좌측 공장 및 하부 쪽 피해가 우려되어 취약지역으로 지정",2025-12-29
경상북도,문경시,점촌동,,산13-12,36,35,59.637,128,11,42.716,사유림,"계류 내 자갈, 모래, 낙엽 등 퇴적물이 유동한 흔적이 관찰되고 좌측 및 하부에 학교가 있음으로 취약지역으로 선정함",2025-12-29
경상북도,문경시,문경읍,지곡리,산93-1,36,45,54.796,128,6,46.483,사유림,100m아래 절과 인가가 있으며 계류 내 유송잡물 및 퇴적물이 다량 적치된 상태로 확인되어 취약지역으로 선정,2025-12-29
경상북도,문경시,마성면,상내리,907임,36,41,37,128,3,24,사유림,사면부 토석이 유하되어 피해 이력이 있는 대상지임,2025-12-29
경상북도,문경시,영순면,율곡리,산38임,36,33,9.576,128,13,54.988,사유림,"대상지 사면에 인접한 도로 바로 아래에 인가가 위치하고, 당 사면은 침식이 다소 높게 진행 중이며, 대상지 내에 반대사면으로 넘어가는 소로에 부분적인 침식 흔적이 있음",2025-12-29
경상북도,문경시,영순면,이목리,산57-1임,36,33,20.121,128,15,52.219,사유림,"침식이 다수 발생되었으며, 본 대상지와 인가가 인접하게 위치하고 있음",2025-12-29
경상북도,문경시,가은읍,민지리,산120임,36,35,56,128,0,52,사유림,인가와 인접한 사면에서 지속적인 침식이 발생하여 표층유실이 진행중이며 일부 구간으로 표층유실 및 암괴가 발견되어 하부에 인가에 피해가 우려됨,2025-12-29
경상북도,문경시,동로면,간송리,산8-1임,36,45,27,128,19,31.999,사유림,"사면 침식, 표층유실이 일부 진행된 곳으로 일부 구간에는 포행도 발견되어 잠재적 위험성이 있다고 판단됨",2025-12-29
경상북도,문경시,문경읍,진안리,산39-2임,36,44,18,128,5,2,사유림,"전반적으로 중경사를 이루고 있으나 인가와 인접한 사면의 경사가 급하고 당 사면에 전석, 암괴 등이 다량 노출 되어 피해가 우려됨",2025-12-29
경상북도,문경시,산북면,우곡리,산20-1임,36,42,20,128,14,44,사유림,"대상지 사면이 급경사로 이루어져 있고, 세굴 및 침식으로 인한 전석, 암괴의 다량 노출이 발견됨 일부 구간에는 포행이 진행중인 형태가 발견 되며, 사면 곳곳에 자갈, 쇄석 등이 노출되어 있음",2025-12-29
경상북도,문경시,영순면,말응리,산2임,36,33,21,128,15,15,사유림,"토사수로의 세굴 및 도로변 절취사면의 세굴, 침식이 발견되었으며 계곡부 양안에 세굴 흔적과 침식 및 암괴가 발견되어 강우 시 하부인가 피해의 우려가 있음",2025-12-29
경상북도,문경시,영순면,말응리,산90임,36,32,24.323,128,15,24.029,사유림,인가와 인접한 대상지로 사면 내 표층유실과 세굴이 하부 인가로 유입되고 있음,2025-12-29
경상북도,문경시,문경읍,지곡리,산123,36,45,41.12,128,6,46.267,사유림,"계류 주변부 토사구간 세굴, 침식된 상태로 토사 유실 우려",2025-12-29
경상북도,문경시,문경읍,관음리,551,36,48,36.054,128,8,9.712,사유림,"계류 조사결과 계류 내 침식과 붕괴가 진행중이며, 계류의 황폐화가 진행되고 있으며 일부지역 수목전도로 인해 추가피해가 예상됨으로 취약지역으로 선정함",2025-12-29
경상북도,문경시,문경읍,관음리,산77,36,48,39.349,128,7,57.942,사유림,"다수의 붕괴지 및 침식된 토석류의 퇴적이 발견되었으며, 강우시 하부에 토석류에 의한 피해가 발생할 수 있음에 취약지역으로 선정",2025-12-29
경상북도,문경시,가은읍,갈전리,산42-7,36,38,2.989,128,4,42.023,사유림,"인접 사면에서 토석류, 유하수로 인한 주민의 피해가 우려되는 지역임으로 산사태 취약지역으로 선정함",2025-12-29
경상북도,문경시,가은읍,하괴리,산165,36,39,16.883,128,2,51.844,사유림,일부구간 사면 침식의 흔적 및 급경사지에서의 피해 흔적이 발견되었으며산사태위험등급 또한 1등급이 분포함으로 취약지역으로 선정함,2025-12-29
